,Headline,Publish Date & Time,Description
10,Religious groups eye legal challenges to Delta variant restrictions and vaccine mandates,"Mon, 02 Aug 2021 13:42:49 GMT","The spread of the Delta variant has rekindled a debate that raged in the Supreme Court last term as houses of worship charged that state Covid-related restrictions were violating their religious liberty rights.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=FFdzC_q7mdo:WXYbLt5o-PE:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=FFdzC_q7mdo:WXYbLt5o-PE:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=FFdzC_q7mdo:WXYbLt5o-PE:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=FFdzC_q7mdo:WXYbLt5o-PE:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=FFdzC_q7mdo:WXYbLt5o-PE:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=FFdzC_q7mdo:WXYbLt5o-PE:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=FFdzC_q7mdo:WXYbLt5o-PE:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_allpolitics/~4/FFdzC_q7mdo"" height=""1"" width=""1"" alt=""""/>"
11,Biden officials say US is still better off than earlier in pandemic despite new steps to fight Delta variant,"Sun, 01 Aug 2021 22:00:31 GMT","Biden administration officials on Sunday sought to message urgent steps taken last week to contain an increase in Delta variant Covid-19 cases as necessary to keep Americans safe, even as they said the country remains in a far better place than earlier in the pandemic.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=dXkLLOiOXd0:DSKm_8wj0jY:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=dXkLLOiOXd0:DSKm_8wj0jY:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=dXkLLOiOXd0:DSKm_8wj0jY:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=dXkLLOiOXd0:DSKm_8wj0jY:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=dXkLLOiOXd0:DSKm_8wj0jY:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=dXkLLOiOXd0:DSKm_8wj0jY:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=dXkLLOiOXd0:DSKm_8wj0jY:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_allpolitics/~4/dXkLLOiOXd0"" height=""1"" width=""1"" alt=""""/>"
12,Donald Trump's political organization builds war chest topping $100 million,"Sun, 01 Aug 2021 13:35:02 GMT","Donald Trump's political organization raised nearly $82 million during the first half of this year and entered July with $102 million in cash reserves -- an unprecedented war chest at this stage in the election cycle for a former president, according to figures released by his team Saturday night.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=2G2Di1g_mLY:Dkwwr-5cMy0:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=2G2Di1g_mLY:Dkwwr-5cMy0:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=2G2Di1g_mLY:Dkwwr-5cMy0:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=2G2Di1g_mLY:Dkwwr-5cMy0:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=2G2Di1g_mLY:Dkwwr-5cMy0:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=2G2Di1g_mLY:Dkwwr-5cMy0:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=2G2Di1g_mLY:Dkwwr-5cMy0:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_allpolitics/~4/2G2Di1g_mLY"" height=""1"" width=""1"" alt=""""/>"
13,McCarthy says 'it will be hard not to hit' Pelosi with gavel if he becomes House speaker,"Mon, 02 Aug 2021 13:26:01 GMT","House Minority Leader Kevin McCarthy joked at a Saturday night event that it ""will be hard not to hit"" House Speaker Nancy Pelosi with the speaker's gavel if Republicans take control of the chamber in the 2022 midterms and he becomes speaker.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=zi_y6VsJsB0:p_HF5XkED_o:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=zi_y6VsJsB0:p_HF5XkED_o:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=zi_y6VsJsB0:p_HF5XkED_o:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=zi_y6VsJsB0:p_HF5XkED_o:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=zi_y6VsJsB0:p_HF5XkED_o:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=zi_y6VsJsB0:p_HF5XkED_o:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=zi_y6VsJsB0:p_HF5XkED_o:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_allpolitics/~4/zi_y6VsJsB0"" height=""1"" width=""1"" alt=""""/>"
14,Mark Meadows: Trump meeting with his 'cabinet' (despite not having one),"Mon, 02 Aug 2021 12:47:19 GMT","Former Trump White House Chief of Staff Mark Meadows told Newsmax that the former president has been holding meetings with his ""cabinet"" despite not being president. New York Times reporter and CNN political analyst Maggie Haberman has the details.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=-0N70X6ATSE:ehVVvyaOfFc:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=-0N70X6ATSE:ehVVvyaOfFc:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=-0N70X6ATSE:ehVVvyaOfFc:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=-0N70X6ATSE:ehVVvyaOfFc:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=-0N70X6ATSE:ehVVvyaOfFc:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=-0N70X6ATSE:ehVVvyaOfFc:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=-0N70X6ATSE:ehVVvyaOfFc:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_allpolitics/~4/-0N70X6ATSE"" height=""1"" width=""1"" alt=""""/>"
15,Havana Syndrome stokes fear and frustration among diplomats over response from State Department,"Mon, 02 Aug 2021 10:28:58 GMT","As reports continue to rise of US diplomats and intelligence officials being sickened by the mysterious Havana Syndrome, inside the State Department frustration is rising among rank-and-file staffers and diplomats over what multiple officials say has been a tepid response by the department.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=oX_vDkkf3g0:djlEYrsLosg:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=oX_vDkkf3g0:djlEYrsLosg:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=oX_vDkkf3g0:djlEYrsLosg:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=oX_vDkkf3g0:djlEYrsLosg:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=oX_vDkkf3g0:djlEYrsLosg:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=oX_vDkkf3g0:djlEYrsLosg:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=oX_vDkkf3g0:djlEYrsLosg:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_allpolitics/~4/oX_vDkkf3g0"" height=""1"" width=""1"" alt=""""/>"
16,Democratic heavyweights converge on Cleveland as 11th District primary stokes intra-party heat,"Sun, 01 Aug 2021 19:02:18 GMT","The final weekend of campaigning for the primary in Ohio's 11th Congressional District brought to life the divisions that still exist deep inside the Democratic Party, despite broader signs of unity during the first six months of the Biden administration.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=eGmq4dKCcUc:80EjWSU_kmk:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=eGmq4dKCcUc:80EjWSU_kmk:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=eGmq4dKCcUc:80EjWSU_kmk:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=eGmq4dKCcUc:80EjWSU_kmk:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=eGmq4dKCcUc:80EjWSU_kmk:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=eGmq4dKCcUc:80EjWSU_kmk:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=eGmq4dKCcUc:80EjWSU_kmk:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_allpolitics/~4/eGmq4dKCcUc"" height=""1"" width=""1"" alt=""""/>"
17,DeSantis and other GOP 2024 prospects target public health officials with political attacks,"Sat, 31 Jul 2021 14:17:13 GMT","Florida Gov. Ron DeSantis' warning this week of a ""Faucian distopia"" offered the latest glimpse at how ambitious Republicans eyeing 2024 presidential bids are increasingly targeting public health officials as they attempt to grow their national brands in front of conservative audiences.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=TzdGsncZUDU:0Vgg_TfHLZI:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=TzdGsncZUDU:0Vgg_TfHLZI:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=TzdGsncZUDU:0Vgg_TfHLZI:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=TzdGsncZUDU:0Vgg_TfHLZI:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=TzdGsncZUDU:0Vgg_TfHLZI:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=TzdGsncZUDU:0Vgg_TfHLZI:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=TzdGsncZUDU:0Vgg_TfHLZI:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_allpolitics/~4/TzdGsncZUDU"" height=""1"" width=""1"" alt=""""/>"
18,John Lewis aide hopes young Americans use lessons in posthumous graphic novel to change lawmakers' minds on voting rights,"Sun, 01 Aug 2021 16:01:13 GMT","As the fight over voting rights intensifies, a longtime aide to late Congressman John Lewis hopes young Americans will use the lessons in the civil rights leader's posthumous graphic novel to change lawmakers' minds on the issue.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=RJac7FtRahw:zB99Ktj9sB0:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=RJac7FtRahw:zB99Ktj9sB0:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=RJac7FtRahw:zB99Ktj9sB0:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=RJac7FtRahw:zB99Ktj9sB0:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=RJac7FtRahw:zB99Ktj9sB0:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=RJac7FtRahw:zB99Ktj9sB0:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=RJac7FtRahw:zB99Ktj9sB0:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_allpolitics/~4/RJac7FtRahw"" height=""1"" width=""1"" alt=""""/>"
19,Here's what's in the bipartisan infrastructure bill,"Mon, 02 Aug 2021 03:30:35 GMT","A bipartisan group of senators reached an agreement Wednesday on key sticking points that had been holding up a massive infrastructure package during months of negotiations.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=FcPZqjysAoo:330FR-JSVbg:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=FcPZqjysAoo:330FR-JSVbg:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=FcPZqjysAoo:330FR-JSVbg:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=FcPZqjysAoo:330FR-JSVbg:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=FcPZqjysAoo:330FR-JSVbg:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=FcPZqjysAoo:330FR-JSVbg:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=FcPZqjysAoo:330FR-JSVbg:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_allpolitics/~4/FcPZqjysAoo"" height=""1"" width=""1"" alt=""""/>"
20,"Biden nominates Khizr Khan, a Gold Star father and Trump critic, to religious freedom post","Sat, 31 Jul 2021 00:03:51 GMT","President Joe Biden announced Friday that he was appointing Khizr Khan, a Gold Star father who drew then-candidate Donald Trump's ire when he spoke at the 2016 Democratic National Convention, to the United States Commission on International Religious Freedom.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=9ZyVCy7fAeE:1TBA6DmVCcg:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=9ZyVCy7fAeE:1TBA6DmVCcg:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=9ZyVCy7fAeE:1TBA6DmVCcg:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=9ZyVCy7fAeE:1TBA6DmVCcg:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=9ZyVCy7fAeE:1TBA6DmVCcg:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=9ZyVCy7fAeE:1TBA6DmVCcg:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=9ZyVCy7fAeE:1TBA6DmVCcg:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_allpolitics/~4/9ZyVCy7fAeE"" height=""1"" width=""1"" alt=""""/>"
21,Biden administration sues Texas over Gov. Abbott's migrant transport order,"Fri, 30 Jul 2021 22:23:24 GMT","The Biden administration is taking Texas Gov. Greg Abbott to court over an executive order he issued earlier this week targeting the transport of migrants recently released from US Customs and Border Protection custody.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=VbA2FL62jeI:5Kh9h_wQSQQ:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=VbA2FL62jeI:5Kh9h_wQSQQ:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=VbA2FL62jeI:5Kh9h_wQSQQ:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=VbA2FL62jeI:5Kh9h_wQSQQ:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=VbA2FL62jeI:5Kh9h_wQSQQ:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=VbA2FL62jeI:5Kh9h_wQSQQ:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=VbA2FL62jeI:5Kh9h_wQSQQ:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_allpolitics/~4/VbA2FL62jeI"" height=""1"" width=""1"" alt=""""/>"
22,Senate confirms Biden's pick to serve as US Citizenship and Immigration Services director ,"Fri, 30 Jul 2021 20:25:45 GMT","The Senate confirmed Ur Jaddou to serve as US Citizenship and Immigration Services director on Friday, delivering the agency a permanent head -- and the first woman to hold that position -- after years of acting leadership.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=eceunZlfukw:d9sdRXStJuY:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=eceunZlfukw:d9sdRXStJuY:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=eceunZlfukw:d9sdRXStJuY:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=eceunZlfukw:d9sdRXStJuY:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=eceunZlfukw:d9sdRXStJuY:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=eceunZlfukw:d9sdRXStJuY:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=eceunZlfukw:d9sdRXStJuY:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_allpolitics/~4/eceunZlfukw"" height=""1"" width=""1"" alt=""""/>"
23,The pandemic turning point the White House didn't want,"Sat, 31 Jul 2021 04:02:17 GMT","President Joe Biden is tired of wearing a mask.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=klWh_wNIrKo:fodW5CzMJDc:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=klWh_wNIrKo:fodW5CzMJDc:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=klWh_wNIrKo:fodW5CzMJDc:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=klWh_wNIrKo:fodW5CzMJDc:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=klWh_wNIrKo:fodW5CzMJDc:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=klWh_wNIrKo:fodW5CzMJDc:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=klWh_wNIrKo:fodW5CzMJDc:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_allpolitics/~4/klWh_wNIrKo"" height=""1"" width=""1"" alt=""""/>"
24,Biden says Western wildfires demand 'urgent action' in meeting with governors ,"Sat, 31 Jul 2021 14:16:30 GMT","President Joe Biden said Friday the wildfires intensifying in the West demand ""urgent action"" as he met with seven governors to discuss how states are responding to the wildfires and how the federal government can best assist.<div class=""feedflare"">
<a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=m_fkjRS_29g:dGPGDONEdHY:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=m_fkjRS_29g:dGPGDONEdHY:7Q72WNTAKBA""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=7Q72WNTAKBA"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=m_fkjRS_29g:dGPGDONEdHY:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=m_fkjRS_29g:dGPGDONEdHY:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=m_fkjRS_29g:dGPGDONEdHY:qj6IDK7rITs""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?d=qj6IDK7rITs"" border=""0""></img></a> <a href=""http://rss.cnn.com/~ff/rss/cnn_allpolitics?a=m_fkjRS_29g:dGPGDONEdHY:gIN9vFwOqvQ""><img src=""http://feeds.feedburner.com/~ff/rss/cnn_allpolitics?i=m_fkjRS_29g:dGPGDONEdHY:gIN9vFwOqvQ"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/rss/cnn_allpolitics/~4/m_fkjRS_29g"" height=""1"" width=""1"" alt=""""/>"
